,,,,,,,,,,,,,,,,,,,,,,,
"LGPL3","LGPL-3","LGPL-3+","LGPL3.0","LGPL 3.0","LGPL-3.0","LGPL3.0+","lgpl-3.0","LGPL (v3)","LGPL-3.0+","GNU LGPLv3","LGPL (v3.0)","LGPL-3.0-only","LGPL 3.0 or later","LGPL-3.0-or-later","LGPL (v3 or later)","scancode://lgpl-3.0","scancode://lgpl-3.0-plus","GNU Lesser General Public License 3.0","GNU Lesser General Public License v3.0 only","GNU Lesser General Public License, Version 3.0","GNU Lesser General Public License v3.0 or later","License :: OSI Approved :: GNU Lesser General Public License v3 (LGPLv3)","License :: OSI Approved :: GNU Library or Lesser General Public License (LGPL)"
"GPL3","GPL3+","GPL3.0","GPL 3.0","GPL-3.0","GPL3.0+","gpl-3.0","GPL (v3)","GPL-3.0+","GNU GPLv3","GPL-3.0-only","GPL 3.0 or later","GPL-3.0-or-later","GPL (v3 or later)","scancode://gpl-3.0","scancode://gpl-3.0-plus","GNU General Public License 3.0","GNU General Public License v3.0 only","GNU General Public License, Version 3.0","GNU General Public License v3.0 or later","License :: OSI Approved :: GNU General Public License (GPL)","License :: OSI Approved :: GNU General Public License v3 (GPLv3)",,
"AGPL3","AGPL3.0","AGPL 3.0","AGPL-3.0","agpl-3.0","AGPL (v3)","GNU AGPLv3","AGPL-3.0-only","scancode://agpl-3.0","Affero General Public License 3.0","GNU Affero General Public License v3","GNU Affero General Public License v3.0 only","GNU AFFERO GENERAL PUBLIC LICENSE, Version 3 (AGPL-3.0)","License :: OSI Approved :: GNU Affero General Public License v3",,,,,,,,,,
"BSD-3","BSD-3-Clause","BSD-3-clause","bsd-3-clause","BSD (3 clause)","New BSD License","scancode://bsd-new","Revised BSD License","BSD 3-Clause License","Modified BSD License","BSD License (no advertising)","License :: OSI Approved :: BSD License","BSD 3-Clause ""New"" or ""Revised"" License","BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",,,,,,,,,,
"GPL2","GPL2.0","GPL 2.0","GPL-2.0","gpl-2.0","GPL (v2)","GNU GPLv2","GPL-2.0-only","scancode://gpl-2.0","GNU General Public License 2.0","GNU General Public License v2.0 only","GNU General Public License, Version 2.0","License :: OSI Approved :: GNU General Public License v2 (GPLv2)",,,,,,,,,,,
"BSD-2","BSD-2-Clause","BSD-2-clause","bsd-2-clause","BSD (2 clause)","FreeBSD License","BSD 2-Clause License","Simplified BSD License","BSD License (two clause)","scancode://bsd-simplified","BSD 2-Clause ""Simplified"" License","BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",,,,,,,,,,,,
"LGPL2.1","LGPL 2.1","LGPL-2.1","lgpl-2.1","LGPL (v2.1)","GNU LGPLv2.1","LGPL-2.1-only","scancode://lgpl-2.1","GNU Lesser General Public License 2.1","GNU Lesser General Public License v2.1 only","GNU Lesser General Public License, Version 2.1","License :: OSI Approved :: GNU Lesser General Public License v2 (LGPLv2)",,,,,,,,,,,,
"AGPL3+","AGPL3.0+","AGPL-3.0+","AGPL 3.0 or later","AGPL-3.0-or-later","AGPL (v3 or later)","scancode://agpl-3.0-plus","GNU Affero General Public License 3.0","Affero General Public License 3.0 or later","GNU Affero General Public License v3.0 or later","GNU Affero General Public License (AGPL-3.0) (v. 3.0)",,,,,,,,,,,,,
"ASL 2.0","Apache 2.0","Apache-2.0","apache-2.0","Apache (v2.0)","Apache License 2.0","scancode://apache-2.0","Apache License, Version 2.0","Apache Software License 2.0","License :: OSI Approved :: Apache Software License",,,,,,,,,,,,,,
"MIT","mit","Expat","MIT License","scancode://mit","MIT/Expat License","MIT license (also X11)","MIT license / X11 license","License :: OSI Approved :: MIT License",,,,,,,,,,,,,,,
"Zlib","zlib","zlib/libpng","ZLIB License","zlib License","scancode://zlib","zlib/libpng license","The zlib/libpng License (Zlib)","License :: OSI Approved :: zlib/libpng License",,,,,,,,,,,,,,,
